id,model,condition,task,rouge1,rouge2,rougeL,output_len,time_s,n_iterations,diversity,fb_specificity,bertscore_f1
cnn_000,gemma4:e4b,zero_shot,summarize,0.4444,0.268,0.3434,65,8.62,1,0.0,0.0,0.9001
cnn_001,gemma4:e4b,zero_shot,summarize,0.354,0.0901,0.2832,69,8.92,1,0.0,0.0,0.8797
cnn_002,gemma4:e4b,zero_shot,summarize,0.2222,0.1136,0.1778,53,7.91,1,0.0,0.0,0.869
cnn_000,gemma4:e4b,cot,summarize,0.2451,0.1188,0.1961,166,21.12,1,0.0,0.0,0.8652
cnn_001,gemma4:e4b,cot,summarize,0.2714,0.1117,0.2211,154,17.52,1,0.0,0.0,0.8583
cnn_002,gemma4:e4b,cot,summarize,0.2169,0.0976,0.1566,131,15.76,1,0.0,0.0,0.8395
cnn_000,gemma4:e4b,rar,summarize,0.3053,0.155,0.2443,94,13.12,1,0.0,0.0,0.8661
cnn_001,gemma4:e4b,rar,summarize,0.3688,0.1439,0.2695,96,12.87,1,0.0,0.0,0.8584
cnn_002,gemma4:e4b,rar,summarize,0.2095,0.0971,0.1524,68,9.82,1,0.0,0.0,0.8392
cnn_000,gemma4:e4b,sr_1,summarize,0.382,0.1609,0.2697,55,24.8,2,0.1272,44.0,0.892
cnn_001,gemma4:e4b,sr_1,summarize,0.3932,0.087,0.2564,74,27.68,2,0.0562,62.0,0.8767
cnn_002,gemma4:e4b,sr_1,summarize,0.2626,0.1237,0.1818,62,25.72,2,0.0145,54.0,0.8668
cnn_000,gemma4:e4b,sr_2,summarize,0.3371,0.1839,0.3371,53,40.7,3,0.1501,42.5,0.8841
cnn_001,gemma4:e4b,sr_2,summarize,0.3103,0.0877,0.2414,72,45.25,3,0.0661,54.5,0.8677
cnn_002,gemma4:e4b,sr_2,summarize,0.2667,0.1165,0.1905,67,45.23,3,0.022,60.5,0.8606
cnn_000,gemma4:e4b,sr_3,summarize,0.3596,0.1149,0.2921,54,57.12,4,0.1191,45.67,0.88
cnn_001,gemma4:e4b,sr_3,summarize,0.3964,0.1101,0.2883,65,60.49,4,0.0696,51.33,0.8792
cnn_002,gemma4:e4b,sr_3,summarize,0.233,0.099,0.1553,66,61.7,4,0.0498,50.33,0.8599
cnn_000,mistral:7b,zero_shot,summarize,0.0,0.0,0.0,8,2.01,1,0.0,0.0,0.7726
cnn_001,mistral:7b,zero_shot,summarize,0.0357,0.0,0.0357,8,2.03,1,0.0,0.0,0.7645
cnn_002,mistral:7b,zero_shot,summarize,0.0,0.0,0.0,8,2.02,1,0.0,0.0,0.7636
cnn_000,mistral:7b,cot,summarize,0.0,0.0,0.0,8,2.01,1,0.0,0.0,0.7726
cnn_001,mistral:7b,cot,summarize,0.0357,0.0,0.0357,8,2.05,1,0.0,0.0,0.7645
cnn_002,mistral:7b,cot,summarize,0.0,0.0,0.0,8,2.03,1,0.0,0.0,0.7636
cnn_000,mistral:7b,rar,summarize,0.0,0.0,0.0,8,2.01,1,0.0,0.0,0.7726
cnn_001,mistral:7b,rar,summarize,0.0357,0.0,0.0357,8,2.05,1,0.0,0.0,0.7645
cnn_002,mistral:7b,rar,summarize,0.0,0.0,0.0,8,2.05,1,0.0,0.0,0.7636
cnn_000,mistral:7b,sr_1,summarize,0.0,0.0,0.0,8,6.11,2,0.0,8.0,0.7726
cnn_001,mistral:7b,sr_1,summarize,0.0357,0.0,0.0357,8,6.1,2,0.0,8.0,0.7645
cnn_002,mistral:7b,sr_1,summarize,0.0,0.0,0.0,8,6.07,2,0.0,8.0,0.7636
cnn_000,mistral:7b,sr_2,summarize,0.0,0.0,0.0,8,10.16,3,0.0,8.0,0.7726
cnn_001,mistral:7b,sr_2,summarize,0.0357,0.0,0.0357,8,10.17,3,0.0,8.0,0.7645
cnn_002,mistral:7b,sr_2,summarize,0.0,0.0,0.0,8,10.15,3,0.0,8.0,0.7636
cnn_000,mistral:7b,sr_3,summarize,0.0,0.0,0.0,8,14.22,4,0.0,8.0,0.7726
cnn_001,mistral:7b,sr_3,summarize,0.0357,0.0,0.0357,8,14.18,4,0.0,8.0,0.7645
cnn_002,mistral:7b,sr_3,summarize,0.0,0.0,0.0,8,14.21,4,0.0,8.0,0.7636
