id,model,condition,task,rouge1,rouge2,rougeL,output_len,time_s,n_iterations,diversity,fb_specificity,bertscore_f1
cnn_000,gemma4:e4b,zero_shot,summarize,0.4444,0.268,0.3434,65,8.65,1,0.0,0.0,0.9001
cnn_001,gemma4:e4b,zero_shot,summarize,0.354,0.0901,0.2832,69,8.75,1,0.0,0.0,0.8797
cnn_002,gemma4:e4b,zero_shot,summarize,0.2222,0.1136,0.1778,53,7.87,1,0.0,0.0,0.869
cnn_003,gemma4:e4b,zero_shot,summarize,0.4,0.102,0.26,58,7.69,1,0.0,0.0,0.8757
cnn_004,gemma4:e4b,zero_shot,summarize,0.3368,0.043,0.1895,53,7.02,1,0.0,0.0,0.8776
cnn_005,gemma4:e4b,zero_shot,summarize,0.2955,0.093,0.1818,63,8.1,1,0.0,0.0,0.8795
cnn_006,gemma4:e4b,zero_shot,summarize,0.3817,0.062,0.229,75,9.88,1,0.0,0.0,0.8858
cnn_007,gemma4:e4b,zero_shot,summarize,0.2857,0.0833,0.2041,54,7.3,1,0.0,0.0,0.8831
cnn_008,gemma4:e4b,zero_shot,summarize,0.2737,0.0645,0.1263,69,8.66,1,0.0,0.0,0.8804
cnn_009,gemma4:e4b,zero_shot,summarize,0.3714,0.2353,0.3429,48,6.92,1,0.0,0.0,0.9014
cnn_010,gemma4:e4b,zero_shot,summarize,0.3696,0.1333,0.2391,57,7.61,1,0.0,0.0,0.8988
cnn_011,gemma4:e4b,zero_shot,summarize,0.2366,0.0879,0.129,65,8.84,1,0.0,0.0,0.8716
cnn_012,gemma4:e4b,zero_shot,summarize,0.4176,0.1798,0.2637,58,8.13,1,0.0,0.0,0.8981
cnn_013,gemma4:e4b,zero_shot,summarize,0.1849,0.0,0.1176,74,8.99,1,0.0,0.0,0.8503
cnn_014,gemma4:e4b,zero_shot,summarize,0.172,0.1099,0.1505,76,9.14,1,0.0,0.0,0.873
cnn_015,gemma4:e4b,zero_shot,summarize,0.3115,0.0833,0.1475,75,9.18,1,0.0,0.0,0.8768
cnn_016,gemma4:e4b,zero_shot,summarize,0.2476,0.0583,0.1143,68,8.88,1,0.0,0.0,0.8506
cnn_017,gemma4:e4b,zero_shot,summarize,0.2689,0.1197,0.2185,70,9.14,1,0.0,0.0,0.8626
cnn_018,gemma4:e4b,zero_shot,summarize,0.2824,0.0723,0.1882,58,8.31,1,0.0,0.0,0.8741
cnn_019,gemma4:e4b,zero_shot,summarize,0.2526,0.086,0.1895,57,8.1,1,0.0,0.0,0.8606
cnn_000,gemma4:e4b,cot,summarize,0.2451,0.1188,0.1961,166,18.64,1,0.0,0.0,0.8652
cnn_001,gemma4:e4b,cot,summarize,0.2714,0.1117,0.2211,154,17.29,1,0.0,0.0,0.8583
cnn_002,gemma4:e4b,cot,summarize,0.2169,0.0976,0.1566,131,15.38,1,0.0,0.0,0.8395
cnn_003,gemma4:e4b,cot,summarize,0.2526,0.0957,0.1684,148,16.16,1,0.0,0.0,0.8529
cnn_004,gemma4:e4b,cot,summarize,0.3152,0.1099,0.1848,142,15.01,1,0.0,0.0,0.8606
cnn_005,gemma4:e4b,cot,summarize,0.2061,0.0613,0.1455,139,16.01,1,0.0,0.0,0.8686
cnn_006,gemma4:e4b,cot,summarize,0.3015,0.1523,0.201,144,16.53,1,0.0,0.0,0.868
cnn_007,gemma4:e4b,cot,summarize,0.2123,0.0678,0.1453,135,14.89,1,0.0,0.0,0.844
cnn_008,gemma4:e4b,cot,summarize,0.1472,0.0497,0.0982,138,15.65,1,0.0,0.0,0.8422
cnn_009,gemma4:e4b,cot,summarize,0.2041,0.1379,0.1633,125,15.15,1,0.0,0.0,0.8749
cnn_010,gemma4:e4b,cot,summarize,0.2564,0.1169,0.2051,120,14.22,1,0.0,0.0,0.8698
cnn_011,gemma4:e4b,cot,summarize,0.1844,0.0719,0.156,115,14.26,1,0.0,0.0,0.8442
cnn_012,gemma4:e4b,cot,summarize,0.257,0.1243,0.1564,146,16.94,1,0.0,0.0,0.8715
cnn_013,gemma4:e4b,cot,summarize,0.1089,0.0,0.0594,158,16.71,1,0.0,0.0,0.8254
cnn_014,gemma4:e4b,cot,summarize,0.1176,0.0476,0.1176,150,17.04,1,0.0,0.0,0.8469
cnn_015,gemma4:e4b,cot,summarize,0.2056,0.0283,0.1028,168,17.47,1,0.0,0.0,0.8486
cnn_016,gemma4:e4b,cot,summarize,0.1532,0.0545,0.1081,186,19.66,1,0.0,0.0,0.8227
cnn_017,gemma4:e4b,cot,summarize,0.1854,0.0788,0.1366,157,17.34,1,0.0,0.0,0.8376
cnn_018,gemma4:e4b,cot,summarize,0.183,0.0397,0.1438,123,15.44,1,0.0,0.0,0.8403
cnn_019,gemma4:e4b,cot,summarize,0.1744,0.0471,0.1395,136,15.72,1,0.0,0.0,0.8273
cnn_000,gemma4:e4b,rar,summarize,0.3053,0.155,0.2443,94,11.95,1,0.0,0.0,0.8661
cnn_001,gemma4:e4b,rar,summarize,0.3688,0.1439,0.2695,96,12.05,1,0.0,0.0,0.8584
cnn_002,gemma4:e4b,rar,summarize,0.2095,0.0971,0.1524,68,9.44,1,0.0,0.0,0.8392
cnn_003,gemma4:e4b,rar,summarize,0.3415,0.0826,0.2114,80,9.98,1,0.0,0.0,0.8555
cnn_004,gemma4:e4b,rar,summarize,0.3089,0.0496,0.1789,80,9.91,1,0.0,0.0,0.8549
cnn_005,gemma4:e4b,rar,summarize,0.2632,0.1071,0.1754,86,11.16,1,0.0,0.0,0.8673
cnn_006,gemma4:e4b,rar,summarize,0.3714,0.1304,0.2571,82,10.82,1,0.0,0.0,0.8697
cnn_007,gemma4:e4b,rar,summarize,0.2615,0.0781,0.1385,84,10.72,1,0.0,0.0,0.8499
cnn_008,gemma4:e4b,rar,summarize,0.1626,0.0331,0.1301,95,11.85,1,0.0,0.0,0.8497
cnn_009,gemma4:e4b,rar,summarize,0.3095,0.1951,0.2857,65,8.44,1,0.0,0.0,0.8842
cnn_010,gemma4:e4b,rar,summarize,0.3304,0.1239,0.2087,79,10.14,1,0.0,0.0,0.8768
cnn_011,gemma4:e4b,rar,summarize,0.2407,0.0755,0.1481,79,10.93,1,0.0,0.0,0.858
cnn_012,gemma4:e4b,rar,summarize,0.3333,0.1356,0.25,85,11.32,1,0.0,0.0,0.8796
cnn_013,gemma4:e4b,rar,summarize,0.1528,0.0,0.0972,99,11.56,1,0.0,0.0,0.8342
cnn_014,gemma4:e4b,rar,summarize,0.1748,0.0594,0.1359,85,10.62,1,0.0,0.0,0.8552
cnn_015,gemma4:e4b,rar,summarize,0.2877,0.0694,0.1233,96,12.33,1,0.0,0.0,0.8616
cnn_016,gemma4:e4b,rar,summarize,0.1333,0.027,0.08,111,13.68,1,0.0,0.0,0.8207
cnn_017,gemma4:e4b,rar,summarize,0.2537,0.1212,0.209,84,11.48,1,0.0,0.0,0.8433
cnn_018,gemma4:e4b,rar,summarize,0.2202,0.0561,0.1651,81,11.07,1,0.0,0.0,0.8533
cnn_019,gemma4:e4b,rar,summarize,0.2373,0.069,0.1356,80,11.23,1,0.0,0.0,0.8472
cnn_000,gemma4:e4b,sr_1,summarize,0.382,0.1609,0.2697,55,24.23,2,0.1272,44.0,0.892
cnn_001,gemma4:e4b,sr_1,summarize,0.3932,0.087,0.2564,74,26.58,2,0.0562,62.0,0.8767
cnn_002,gemma4:e4b,sr_1,summarize,0.2626,0.1237,0.1818,62,25.05,2,0.0145,54.0,0.8668
cnn_003,gemma4:e4b,sr_1,summarize,0.4,0.0645,0.1895,53,28.15,2,0.0374,105.0,0.8689
cnn_004,gemma4:e4b,sr_1,summarize,0.381,0.0777,0.2476,63,23.93,2,0.0368,64.0,0.8857
cnn_005,gemma4:e4b,sr_1,summarize,0.2526,0.086,0.1474,70,26.83,2,0.1065,62.0,0.8717
cnn_006,gemma4:e4b,sr_1,summarize,0.3636,0.0672,0.2149,66,29.85,2,0.1117,72.0,0.8819
cnn_007,gemma4:e4b,sr_1,summarize,0.1928,0.0494,0.1446,39,20.07,2,0.2329,28.0,0.8871
cnn_008,gemma4:e4b,sr_1,summarize,0.2632,0.0541,0.1579,49,25.89,2,0.0583,65.0,0.8846
cnn_009,gemma4:e4b,sr_1,summarize,0.3429,0.2059,0.3143,50,25.31,2,0.059,79.0,0.8955
cnn_010,gemma4:e4b,sr_1,summarize,0.3596,0.1379,0.2247,54,22.4,2,0.0261,49.0,0.8958
cnn_011,gemma4:e4b,sr_1,summarize,0.2558,0.0714,0.1395,59,24.72,2,0.0953,43.0,0.867
cnn_012,gemma4:e4b,sr_1,summarize,0.3043,0.1111,0.1957,59,28.97,2,0.0326,94.0,0.8853
cnn_013,gemma4:e4b,sr_1,summarize,0.1803,0.0,0.0984,76,26.14,2,0.073,52.0,0.8472
cnn_014,gemma4:e4b,sr_1,summarize,0.1957,0.1111,0.1522,73,28.45,2,0.0904,71.0,0.8788
cnn_015,gemma4:e4b,sr_1,summarize,0.2656,0.0794,0.1406,79,28.32,2,0.1322,54.0,0.8682
cnn_016,gemma4:e4b,sr_1,summarize,0.2424,0.0825,0.101,62,25.56,2,0.0763,37.0,0.846
cnn_017,gemma4:e4b,sr_1,summarize,0.3063,0.1284,0.2523,62,25.14,2,0.1565,48.0,0.865
cnn_018,gemma4:e4b,sr_1,summarize,0.3371,0.092,0.2022,62,28.96,2,0.0608,86.0,0.8924
cnn_019,gemma4:e4b,sr_1,summarize,0.4368,0.1882,0.3218,50,27.78,2,0.1124,86.0,0.8895
cnn_000,gemma4:e4b,sr_2,summarize,0.3371,0.1839,0.3371,53,39.36,3,0.1501,42.5,0.8841
cnn_001,gemma4:e4b,sr_2,summarize,0.3103,0.0877,0.2414,72,43.36,3,0.0661,54.5,0.8677
cnn_002,gemma4:e4b,sr_2,summarize,0.2667,0.1165,0.1905,67,44.42,3,0.022,60.5,0.8606
cnn_003,gemma4:e4b,sr_2,summarize,0.4082,0.0625,0.2245,55,46.78,3,0.0307,95.0,0.8682
cnn_004,gemma4:e4b,sr_2,summarize,0.4259,0.1132,0.2222,65,38.86,3,0.0482,49.5,0.8933
cnn_005,gemma4:e4b,sr_2,summarize,0.28,0.0612,0.14,74,44.56,3,0.106,58.5,0.8682
cnn_006,gemma4:e4b,sr_2,summarize,0.3697,0.0855,0.2017,64,48.59,3,0.0774,61.5,0.8805
cnn_007,gemma4:e4b,sr_2,summarize,0.2697,0.046,0.1573,45,33.43,3,0.1468,30.0,0.8803
cnn_008,gemma4:e4b,sr_2,summarize,0.2933,0.137,0.24,49,41.7,3,0.1026,56.0,0.8848
cnn_009,gemma4:e4b,sr_2,summarize,0.4,0.2222,0.3385,45,43.04,3,0.0489,81.0,0.8977
cnn_010,gemma4:e4b,sr_2,summarize,0.3853,0.1495,0.2752,74,45.02,3,0.0308,78.5,0.8952
cnn_011,gemma4:e4b,sr_2,summarize,0.25,0.0465,0.1364,61,44.13,3,0.0777,55.5,0.8643
cnn_012,gemma4:e4b,sr_2,summarize,0.3659,0.15,0.2439,50,49.42,3,0.0385,94.5,0.8939
cnn_013,gemma4:e4b,sr_2,summarize,0.1951,0.0165,0.1301,76,47.07,3,0.0945,67.0,0.8413
cnn_014,gemma4:e4b,sr_2,summarize,0.1609,0.0941,0.1609,67,46.1,3,0.1593,59.5,0.8717
cnn_015,gemma4:e4b,sr_2,summarize,0.2617,0.0571,0.1682,57,46.85,3,0.18,58.5,0.8648
cnn_016,gemma4:e4b,sr_2,summarize,0.2478,0.0721,0.0885,76,44.58,3,0.0998,44.0,0.8411
cnn_017,gemma4:e4b,sr_2,summarize,0.2609,0.0885,0.1913,66,41.53,3,0.0933,47.0,0.8576
cnn_018,gemma4:e4b,sr_2,summarize,0.3913,0.1556,0.2609,65,47.61,3,0.0352,71.0,0.896
cnn_019,gemma4:e4b,sr_2,summarize,0.3838,0.1649,0.2828,62,45.8,3,0.0844,68.0,0.8836
cnn_000,gemma4:e4b,sr_3,summarize,0.3366,0.1414,0.3168,65,119.61,4,0.1025,42.0,0.8745
cnn_001,gemma4:e4b,sr_3,summarize,0.4194,0.1639,0.3226,76,59.7,4,0.0872,39.33,0.8814
cnn_002,gemma4:e4b,sr_3,summarize,0.2245,0.1042,0.1633,61,67.09,4,0.0489,63.67,0.8645
cnn_003,gemma4:e4b,sr_3,summarize,0.449,0.1458,0.3061,56,55.3,4,0.068,53.67,0.8806
